step,epoch,loss_jepa,loss_drift,loss_total,lr,grad_norm,throughput,val_loss
144,0,0.460407,0.000000,0.710587,8.98e-05,0.2444,0.04,
145,0,0.462569,0.000000,0.693037,8.96e-05,0.1985,0.04,
146,0,0.465102,0.000000,0.675658,8.93e-05,0.1260,0.04,
147,0,0.459077,0.000000,0.716575,8.91e-05,0.1364,0.04,
148,0,0.453912,0.000000,0.731521,8.89e-05,0.2380,0.04,
149,0,0.461870,0.000000,0.691908,8.86e-05,0.1941,0.04,
150,0,0.465884,0.000000,0.721735,8.84e-05,0.2221,0.04,
151,0,0.465556,0.000000,0.668837,8.82e-05,0.1119,0.04,
152,0,0.464516,0.000000,0.707281,8.79e-05,0.1495,0.04,
153,0,0.458804,0.000000,0.734378,8.77e-05,0.2412,0.04,
154,0,0.462939,0.000000,0.709251,8.74e-05,0.1462,0.04,
155,0,0.461657,0.000000,0.668101,8.72e-05,0.1555,0.04,
156,0,0.467934,0.000000,0.661388,8.70e-05,0.1524,0.04,
157,0,0.466163,0.000000,0.688411,8.67e-05,0.1846,0.04,
158,0,0.459082,0.000000,0.688497,8.64e-05,0.1584,0.04,
159,0,0.458821,0.000000,0.687155,8.62e-05,0.1261,0.04,
160,0,0.456442,0.000000,0.715495,8.59e-05,0.1207,0.04,
161,0,0.455972,0.000000,0.693561,8.57e-05,0.1547,0.04,
162,0,0.465819,0.000000,0.664852,8.54e-05,0.1164,0.04,
163,0,0.469363,0.000000,0.694334,8.52e-05,0.1669,0.04,
164,0,0.460934,0.000000,0.669414,8.49e-05,0.1971,0.04,
165,0,0.461192,0.000000,0.719360,8.46e-05,0.2021,0.04,
166,0,0.466899,0.000000,0.688499,8.44e-05,0.1197,0.04,
167,0,0.475159,0.000000,0.675721,8.41e-05,0.1104,0.04,
168,0,0.461581,0.000000,0.667420,8.38e-05,0.1448,0.04,
169,0,0.462699,0.000000,0.726810,8.35e-05,0.1847,0.04,
170,0,0.477355,0.000000,0.676722,8.33e-05,0.1207,0.04,
171,0,0.472224,0.000000,0.692342,8.30e-05,0.1566,0.04,
172,0,0.472028,0.000000,0.690445,8.27e-05,0.1260,0.04,
173,0,0.466938,0.000000,0.683349,8.24e-05,0.1785,0.04,
174,0,0.467182,0.000000,0.655297,8.22e-05,0.0943,0.04,
175,0,0.464174,0.000000,0.649265,8.19e-05,0.1391,0.04,
176,0,0.459426,0.000000,0.661725,8.16e-05,0.1360,0.04,
177,0,0.473942,0.000000,0.657907,8.13e-05,0.1241,0.04,
178,0,0.473353,0.000000,0.707053,8.10e-05,0.1342,0.04,
179,0,0.464699,0.000000,0.705362,8.07e-05,0.1582,0.04,
180,0,0.467463,0.000000,0.694427,8.04e-05,0.1971,0.04,
181,0,0.467838,0.000000,0.700726,8.01e-05,0.1294,0.04,
182,0,0.469069,0.000000,0.687384,7.98e-05,0.1486,0.04,
183,0,0.465614,0.000000,0.712844,7.95e-05,0.1390,0.04,
184,0,0.473799,0.000000,0.753459,7.92e-05,0.1399,0.03,
185,0,0.469884,0.000000,0.738469,7.89e-05,0.1365,0.04,
186,0,0.465690,0.000000,0.697708,7.86e-05,0.1390,0.04,
187,0,0.460460,0.000000,0.693387,7.83e-05,0.1126,0.04,
188,0,0.468633,0.000000,0.700467,7.80e-05,0.1225,0.04,
189,0,0.457057,0.000000,0.847660,7.77e-05,0.1536,0.04,
190,0,0.450851,0.000000,0.644927,7.74e-05,0.1798,0.04,
191,0,0.463818,0.000000,0.685111,7.71e-05,0.1812,0.04,
192,0,0.469965,0.000000,0.721281,7.68e-05,0.2789,0.04,
193,0,0.466026,0.000000,0.670759,7.65e-05,0.1295,0.04,
194,0,0.462593,0.000000,0.690726,7.62e-05,0.2526,0.04,
195,0,0.462330,0.000000,0.721711,7.58e-05,0.1632,0.04,
196,0,0.463918,0.000000,0.711927,7.55e-05,0.1991,0.04,
